cluster,bin,N,R_arcsec,sigma,err_sigma,sigma_r,err_sigma_r,sigma_t,err_sigma_t,Rsun_kpc,rh_l_pc,rh_m_pc,Mass_Msun,RGC_kpc_struct,log_Trh,rc_pc,rt_pc,ARot_kms,PRot_percent,R_pc,R_over_rh_l
NGC5904,12,239,51.76,0.198,0.007,0.2,0.009,0.198,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,1.8770261556735268,0.5332460669527065
NGC5904,13,238,56.6481,0.208,0.007,0.213,0.01,0.203,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.054288357210385,0.5836046469347684
NGC5904,14,238,61.8028,0.201,0.007,0.203,0.009,0.199,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.2412185489540155,0.6367098150437545
NGC5904,15,238,68.3356,0.203,0.007,0.202,0.01,0.201,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.478124199452161,0.7040125566625458
NGC5904,16,238,74.3174,0.195,0.006,0.199,0.009,0.191,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.695048369815529,0.7656387414248662
NGC5904,17,238,81.908,0.192,0.007,0.2,0.01,0.185,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.9703141104889346,0.8438392359343564
NGC5904,18,238,91.1232,0.189,0.006,0.193,0.009,0.184,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,3.304494393135045,0.9387768162315469
NGC5904,19,238,104.368,0.185,0.006,0.184,0.009,0.188,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,3.7848042081788,1.0752284682326134
NGC5927,1,88,6.8315,0.163,0.009,0.153,0.012,0.174,0.014,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,0.273902528300972,0.0880715525083511
NGC5927,2,224,14.5631,0.153,0.005,0.154,0.008,0.153,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,0.5838937143965287,0.1877471750471153
NGC5927,3,224,21.5814,0.157,0.005,0.157,0.008,0.158,0.008,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,0.8652858119409497,0.2782269491771542
NGC5927,4,224,26.7515,0.145,0.005,0.147,0.007,0.143,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,1.0725760793154435,0.3448797682686314
NGC5927,5,224,31.0793,0.154,0.005,0.16,0.008,0.145,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,1.2460951252030157,0.4006736736987188
NGC5927,6,223,35.9658,0.151,0.005,0.146,0.007,0.157,0.008,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,1.4420147189295325,0.4636703276300747
NGC5927,7,223,41.0518,0.15,0.005,0.142,0.007,0.157,0.008,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,1.6459330763823237,0.5292389313126443
